,london_playgrounds_osm,camden_playgrounds_osm,islington_playgrounds_osm,playscapes_global_map
london_playgrounds_osm,1.0000000000000004,0.830336491706037,0.9311039008066344,0.107858371488239
camden_playgrounds_osm,0.830336491706037,1.0,0.8553773704957129,0.10584214937952004
islington_playgrounds_osm,0.9311039008066344,0.8553773704957129,1.0000000000000002,0.1111111111111111
playscapes_global_map,0.107858371488239,0.10584214937952004,0.1111111111111111,0.9999999999999988
